Filename,size
dBFA2-02M_NaCl_2N-R1-Subpool_S33_R1_001.fastq.gz,37M
dBFA2-21C_2N-R1-Subpool_S32_R1_001.fastq.gz,28M
dBFA2-FLC4_2N-R1-Subpool_S34_R1_001.fastq.gz,12M
dBFA2_h1_Ancestor_YPD_2N_R1_1_R1.fastq.gz,23M
dBFA2_h1_Ancestor_YPD_2N_R1_1_R2.fastq.gz,23M
dBFA2_h1_Ancestor_YPD_2N_R1_2_R1.fastq.gz,23M
dBFA2_h1_Ancestor_YPD_2N_R1_2_R2.fastq.gz,23M
dBFA2_h1_dBFA2-37C-R1-Time16_R1.fastq.gz,203M
dBFA2_h1_dBFA2-37C-R1-Time16_R2.fastq.gz,139M
dBFA2_h1_dBFA2-37C-R1-Time24_R1.fastq.gz,320M
dBFA2_h1_dBFA2-37C-R1-Time24_R2.fastq.gz,321M
dBFA2_h1_dBFA2-37C-R1-Time32_R1.fastq.gz,308M
dBFA2_h1_dBFA2-37C-R1-Time32_R2.fastq.gz,309M
dBFA2_h1_dBFA2-37C-R1-Time40_R1.fastq.gz,273M
dBFA2_h1_dBFA2-37C-R1-Time40_R2.fastq.gz,280M
dBFA2_h1_dBFA2-37C-R1-Time8_R1.fastq.gz,300M
dBFA2_h1_dBFA2-37C-R1-Time8_R2.fastq.gz,306M
dBFA2_h1_dBFA2-37C-R2-Time16_R1.fastq.gz,292M
dBFA2_h1_dBFA2-37C-R2-Time16_R2.fastq.gz,298M
dBFA2_h1_dBFA2-37C-R2-Time24_R1.fastq.gz,236M
dBFA2_h1_dBFA2-37C-R2-Time24_R2.fastq.gz,238M
dBFA2_h1_dBFA2-37C-R2-Time32_R1.fastq.gz,224M
dBFA2_h1_dBFA2-37C-R2-Time32_R2.fastq.gz,229M
dBFA2_h1_dBFA2-37C-R2-Time40_R1.fastq.gz,308M
dBFA2_h1_dBFA2-37C-R2-Time40_R2.fastq.gz,307M
dBFA2_h1_dBFA2-37C-R2-Time8_R1.fastq.gz,357M
dBFA2_h1_dBFA2-37C-R2-Time8_R2.fastq.gz,357M
dBFA2_h1_dBFA2-37C-R3-Time16_R1.fastq.gz,334M
dBFA2_h1_dBFA2-37C-R3-Time16_R2.fastq.gz,336M
dBFA2_h1_dBFA2-37C-R3-Time24_R1.fastq.gz,291M
dBFA2_h1_dBFA2-37C-R3-Time24_R2.fastq.gz,298M
dBFA2_h1_dBFA2-37C-R3-Time32_R1.fastq.gz,93M
dBFA2_h1_dBFA2-37C-R3-Time32_R2.fastq.gz,85M
dBFA2_h1_dBFA2-37C-R3-Time40_R1.fastq.gz,257M
dBFA2_h1_dBFA2-37C-R3-Time40_R2.fastq.gz,258M
dBFA2_h1_dBFA2-37C-R3-Time8_R1.fastq.gz,344M
dBFA2_h1_dBFA2-37C-R3-Time8_R2.fastq.gz,349M
dBFA2_h1_dBFA2-pH3_8-R1-Time16_R1.fastq.gz,247M
dBFA2_h1_dBFA2-pH3_8-R1-Time16_R2.fastq.gz,250M
dBFA2_h1_dBFA2-pH3_8-R1-Time24_R1.fastq.gz,312M
dBFA2_h1_dBFA2-pH3_8-R1-Time24_R2.fastq.gz,316M
dBFA2_h1_dBFA2-pH3_8-R1-Time40_R1.fastq.gz,126M
dBFA2_h1_dBFA2-pH3_8-R1-Time40_R2.fastq.gz,126M
dBFA2_h1_dBFA2-pH3_8-R1-Time8_R1.fastq.gz,255M
dBFA2_h1_dBFA2-pH3_8-R1-Time8_R2.fastq.gz,254M
dBFA2_h1_dBFA2-pH3_8-R2-Time16_R1.fastq.gz,139M
dBFA2_h1_dBFA2-pH3_8-R2-Time16_R2.fastq.gz,142M
dBFA2_h1_dBFA2-pH3_8-R2-Time24_R1.fastq.gz,3.0M
dBFA2_h1_dBFA2-pH3_8-R2-Time24_R2.fastq.gz,3.0M
dBFA2_h1_dBFA2-pH3_8-R2-Time8_R1.fastq.gz,263M
dBFA2_h1_dBFA2-pH3_8-R2-Time8_R2.fastq.gz,266M
dBFA2_h1_dBFA2-pH3_8-R3-Time16_R1.fastq.gz,273M
dBFA2_h1_dBFA2-pH3_8-R3-Time16_R2.fastq.gz,278M
dBFA2_h1_dBFA2-pH3_8-R3-Time24_R1.fastq.gz,296M
dBFA2_h1_dBFA2-pH3_8-R3-Time24_R2.fastq.gz,297M
dBFA2_h1_dBFA2-pH3_8-R3-Time32_R1.fastq.gz,305M
dBFA2_h1_dBFA2-pH3_8-R3-Time32_R2.fastq.gz,306M
dBFA2_h1_dBFA2-pH3_8-R3-Time40_R1.fastq.gz,327M
dBFA2_h1_dBFA2-pH3_8-R3-Time40_R2.fastq.gz,329M
dBFA2_h1_dBFA2-pH3_8-R3-Time8_R1.fastq.gz,270M
dBFA2_h1_dBFA2-pH3_8-R3-Time8_R2.fastq.gz,265M
dBFA2_h1_dBFA2-pH7_3-R1-Time16_R1.fastq.gz,334M
dBFA2_h1_dBFA2-pH7_3-R1-Time16_R2.fastq.gz,337M
dBFA2_h1_dBFA2-pH7_3-R1-Time24_R1.fastq.gz,321M
dBFA2_h1_dBFA2-pH7_3-R1-Time24_R2.fastq.gz,322M
dBFA2_h1_dBFA2-pH7_3-R1-Time32_R1.fastq.gz,371M
dBFA2_h1_dBFA2-pH7_3-R1-Time32_R2.fastq.gz,373M
dBFA2_h1_dBFA2-pH7_3-R1-Time40_R1.fastq.gz,314M
dBFA2_h1_dBFA2-pH7_3-R1-Time40_R2.fastq.gz,318M
dBFA2_h1_dBFA2-pH7_3-R1-Time8_R1.fastq.gz,282M
dBFA2_h1_dBFA2-pH7_3-R1-Time8_R2.fastq.gz,287M
dBFA2_h1_dBFA2-pH7_3-R2-Time16_R1.fastq.gz,36M
dBFA2_h1_dBFA2-pH7_3-R2-Time16_R2.fastq.gz,33M
dBFA2_h1_dBFA2-pH7_3-R2-Time24_R1.fastq.gz,485M
dBFA2_h1_dBFA2-pH7_3-R2-Time24_R2.fastq.gz,464M
dBFA2_h1_dBFA2-pH7_3-R2-Time32_R1.fastq.gz,258M
dBFA2_h1_dBFA2-pH7_3-R2-Time32_R2.fastq.gz,260M
dBFA2_h1_dBFA2-pH7_3-R2-Time40_R1.fastq.gz,384M
dBFA2_h1_dBFA2-pH7_3-R2-Time40_R2.fastq.gz,382M
dBFA2_h1_dBFA2-pH7_3-R2-Time8_R1.fastq.gz,290M
dBFA2_h1_dBFA2-pH7_3-R2-Time8_R2.fastq.gz,292M
dBFA2_h1_dBFA2-pH7_3-R3-Time16_R1.fastq.gz,225M
dBFA2_h1_dBFA2-pH7_3-R3-Time16_R2.fastq.gz,222M
dBFA2_h1_dBFA2-pH7_3-R3-Time24_R1.fastq.gz,378M
dBFA2_h1_dBFA2-pH7_3-R3-Time24_R2.fastq.gz,388M
dBFA2_h1_dBFA2-pH7_3-R3-Time32_R1.fastq.gz,324M
dBFA2_h1_dBFA2-pH7_3-R3-Time32_R2.fastq.gz,324M
dBFA2_h1_dBFA2-pH7_3-R3-Time40_R1.fastq.gz,378M
dBFA2_h1_dBFA2-pH7_3-R3-Time40_R2.fastq.gz,385M
dBFA2_h1_dBFA2-pH7_3-R3-Time8_R1.fastq.gz,313M
dBFA2_h1_dBFA2-pH7_3-R3-Time8_R2.fastq.gz,319M
dBFA2_h1_dBFA2-SC-R1-Time24_R1.fastq.gz,275M
dBFA2_h1_dBFA2-SC-R1-Time24_R2.fastq.gz,280M
dBFA2_h1_dBFA2-SC-R1-Time32_R1.fastq.gz,271M
dBFA2_h1_dBFA2-SC-R1-Time32_R2.fastq.gz,270M
dBFA2_h1_dBFA2-SC-R1-Time40_R1.fastq.gz,308M
dBFA2_h1_dBFA2-SC-R1-Time40_R2.fastq.gz,316M
dBFA2_h1_dBFA2-SC-R1-Time8_R1.fastq.gz,264M
dBFA2_h1_dBFA2-SC-R1-Time8_R2.fastq.gz,271M
dBFA2_h1_dBFA2-SC-R2-Time16_R1.fastq.gz,354M
dBFA2_h1_dBFA2-SC-R2-Time16_R2.fastq.gz,362M
dBFA2_h1_dBFA2-SC-R2-Time24_R1.fastq.gz,331M
dBFA2_h1_dBFA2-SC-R2-Time24_R2.fastq.gz,331M
dBFA2_h1_dBFA2-SC-R2-Time32_R1.fastq.gz,244M
dBFA2_h1_dBFA2-SC-R2-Time32_R2.fastq.gz,249M
dBFA2_h1_dBFA2-SC-R2-Time40_R1.fastq.gz,3.1M
dBFA2_h1_dBFA2-SC-R2-Time40_R2.fastq.gz,3.1M
dBFA2_h1_dBFA2-SC-R2-Time8_R1.fastq.gz,292M
dBFA2_h1_dBFA2-SC-R2-Time8_R2.fastq.gz,290M
dBFA2_h1_dBFA2-SC-R3-Time16_R1.fastq.gz,337M
dBFA2_h1_dBFA2-SC-R3-Time16_R2.fastq.gz,339M
dBFA2_h1_dBFA2-SC-R3-Time24_R1.fastq.gz,304M
dBFA2_h1_dBFA2-SC-R3-Time24_R2.fastq.gz,315M
dBFA2_h1_dBFA2-SC-R3-Time32_R1.fastq.gz,241M
dBFA2_h1_dBFA2-SC-R3-Time32_R2.fastq.gz,241M
dBFA2_h1_dBFA2-SC-R3-Time40_R1.fastq.gz,331M
dBFA2_h1_dBFA2-SC-R3-Time40_R2.fastq.gz,334M
dBFA2_h1_dBFA2-SC-R3-Time8_R1.fastq.gz,274M
dBFA2_h1_dBFA2-SC-R3-Time8_R2.fastq.gz,277M
dBFA2_h1_dBFA2-T0_Pool-NA-Time0_R1.fastq.gz,2.1M
dBFA2_h1_dBFA2-T0_Pool-NA-Time0_R2.fastq.gz,2.2M
dBFA2_h1_dBFA2-YPD-R1-Time16_R1.fastq.gz,279M
dBFA2_h1_dBFA2-YPD-R1-Time16_R2.fastq.gz,272M
dBFA2_h1_dBFA2-YPD-R1-Time24_R1.fastq.gz,309M
dBFA2_h1_dBFA2-YPD-R1-Time24_R2.fastq.gz,310M
dBFA2_h1_dBFA2-YPD-R1-Time32_R1.fastq.gz,448M
