Library,R1_files
dBFA2-02M_NaCl-R1-Time16,dBFA2_s2_dBFA2-02M_NaCl-R1-Time16_R1.fastq.gz
dBFA2-02M_NaCl-R1-Time24,dBFA2_s2_dBFA2-02M_NaCl-R1-Time24_R1.fastq.gz
dBFA2-02M_NaCl-R1-Time32,dBFA2_s2_dBFA2-02M_NaCl-R1-Time32_R1.fastq.gz
dBFA2-02M_NaCl-R1-Time40,dBFA2_s2_dBFA2-02M_NaCl-R1-Time40_R1.fastq.gz
dBFA2-02M_NaCl-R1-Time8,dBFA2_s2_dBFA2-02M_NaCl-R1-Time8_R1.fastq.gz
dBFA2-02M_NaCl-R2-Time16,dBFA2_s2_dBFA2-02M_NaCl-R2-Time16_R1.fastq.gz
dBFA2-02M_NaCl-R2-Time24,dBFA2_s2_dBFA2-02M_NaCl-R2-Time24_R1.fastq.gz
dBFA2-02M_NaCl-R2-Time32,dBFA2_s2_dBFA2-02M_NaCl-R2-Time32_R1.fastq.gz
dBFA2-02M_NaCl-R2-Time40,dBFA2_s2_dBFA2-02M_NaCl-R2-Time40_R1.fastq.gz
dBFA2-02M_NaCl-R2-Time8,dBFA2_s2_dBFA2-02M_NaCl-R2-Time8_R1.fastq.gz
dBFA2-02M_NaCl-R3-Time16,dBFA2_s2_dBFA2-02M_NaCl-R3-Time16_R1.fastq.gz
dBFA2-02M_NaCl-R3-Time24,dBFA2_s2_dBFA2-02M_NaCl-R3-Time24_R1.fastq.gz
dBFA2-02M_NaCl-R3-Time32,dBFA2_s2_dBFA2-02M_NaCl-R3-Time32_R1.fastq.gz
dBFA2-02M_NaCl-R3-Time40,dBFA2_s2_dBFA2-02M_NaCl-R3-Time40_R1.fastq.gz
dBFA2-02M_NaCl-R3-Time8,dBFA2_s2_dBFA2-02M_NaCl-R3-Time8_R1.fastq.gz
dBFA2-21C-R1-Time16,dBFA2_s1_dBFA2-21C-R1-Time16_R1.fastq.gz
dBFA2-21C-R1-Time24,dBFA2_s1_dBFA2-21C-R1-Time24_R1.fastq.gz
dBFA2-21C-R1-Time32,dBFA2_s1_dBFA2-21C-R1-Time32_R1.fastq.gz
dBFA2-21C-R1-Time40,dBFA2_s1_dBFA2-21C-R1-Time40_R1.fastq.gz
dBFA2-21C-R1-Time8,dBFA2_s1_dBFA2-21C-R1-Time8_R1.fastq.gz
dBFA2-21C-R2-Time16,dBFA2_s1_dBFA2-21C-R2-Time16_R1.fastq.gz
dBFA2-21C-R2-Time24,dBFA2_s1_dBFA2-21C-R2-Time24_R1.fastq.gz
dBFA2-21C-R2-Time32,dBFA2_s1_dBFA2-21C-R2-Time32_R1.fastq.gz
