Library,R1_files
02M_NaCl_2N-R1-Time0,Stanford_high_LT_02M_NaCl_2N-R1-Time0_R1.fastq.gz
02M_NaCl_2N-R1-Time104,Stanford_high_LT_02M_NaCl_2N-R1-Time104_R1.fastq.gz
02M_NaCl_2N-R1-Time112,Stanford_high_LT_02M_NaCl_2N-R1-Time112_R1.fastq.gz
02M_NaCl_2N-R1-Time128,Stanford_high_LT_02M_NaCl_2N-R1-Time128_R1.fastq.gz
02M_NaCl_2N-R1-Time144,Stanford_high_LT_02M_NaCl_2N-R1-Time144_R1.fastq.gz
02M_NaCl_2N-R1-Time160,Stanford_high_LT_02M_NaCl_2N-R1-Time160_R1.fastq.gz
02M_NaCl_2N-R1-Time176,Stanford_high_LT_02M_NaCl_2N-R1-Time176_R1.fastq.gz
02M_NaCl_2N-R1-Time192,Stanford_high_LT_02M_NaCl_2N-R1-Time192_R1.fastq.gz
02M_NaCl_2N-R1-Time216,Stanford_high_LT_02M_NaCl_2N-R1-Time216_R1.fastq.gz
02M_NaCl_2N-R1-Time240,Stanford_restart_LT_02M_NaCl_2N-R1-Time240_R1.fastq.gz;Stanford_high_LT_02M_NaCl_2N-R1-Time240_R1.fastq.gz
02M_NaCl_2N-R1-Time256,Stanford_restart_LT_02M_NaCl_2N-R1-Time256_R1.fastq.gz
02M_NaCl_2N-R1-Time272,Stanford_restart_LT_02M_NaCl_2N-R1-Time272_R1.fastq.gz
02M_NaCl_2N-R1-Time288,Stanford_restart_LT_02M_NaCl_2N-R1-Time288_R1.fastq.gz
02M_NaCl_2N-R1-Time304,Stanford_restart_LT_02M_NaCl_2N-R1-Time304_R1.fastq.gz
02M_NaCl_2N-R1-Time320,Stanford_restart_LT_02M_NaCl_2N-R1-Time320_R1.fastq.gz
02M_NaCl_2N-R1-Time336,Stanford_restart_LT_02M_NaCl_2N-R1-Time336_R1.fastq.gz
02M_NaCl_2N-R1-Time352,Stanford_restart_LT_02M_NaCl_2N-R1-Time352_R1.fastq.gz
02M_NaCl_2N-R1-Time368,Stanford_restart_LT_02M_NaCl_2N-R1-Time368_R1.fastq.gz
02M_NaCl_2N-R1-Time384,Stanford_restart_LT_02M_NaCl_2N-R1-Time384_R1.fastq.gz
02M_NaCl_2N-R1-Time400,Stanford_restart_LT_02M_NaCl_2N-R1-Time400_R1.fastq.gz
02M_NaCl_2N-R1-Time416,Stanford_restart_LT_02M_NaCl_2N-R1-Time416_R1.fastq.gz
02M_NaCl_2N-R1-Time440,Stanford_restart_LT_02M_NaCl_2N-R1-Time440_R1.fastq.gz
02M_NaCl_2N-R1-Time64,Stanford_high_LT_02M_NaCl_2N-R1-Time64_R1.fastq.gz
02M_NaCl_2N-R1-Time72,Stanford_high_LT_02M_NaCl_2N-R1-Time72_R1.fastq.gz
02M_NaCl_2N-R1-Time8,Stanford_high_LT_02M_NaCl_2N-R1-Time8_R1.fastq.gz
02M_NaCl_2N-R1-Time80,Stanford_high_LT_02M_NaCl_2N-R1-Time80_R1.fastq.gz
02M_NaCl_2N-R1-Time88,Stanford_high_LT_02M_NaCl_2N-R1-Time88_R1.fastq.gz
02M_NaCl_2N-R1-Time96,Stanford_high_LT_02M_NaCl_2N-R1-Time96_R1.fastq.gz
