Library,R1_files
08M_NaCl_alpha-R1-Time0,Stanford_hap_LT_08M_NaCl_alpha-R1-Time0_R1.fastq.gz
08M_NaCl_alpha-R1-Time104,Stanford_hap_LT_08M_NaCl_alpha-R1-Time104_R1.fastq.gz
08M_NaCl_alpha-R1-Time120,Stanford_hap_LT_08M_NaCl_alpha-R1-Time120_R1.fastq.gz
08M_NaCl_alpha-R1-Time136,Stanford_hap_LT_08M_NaCl_alpha-R1-Time136_R1.fastq.gz
08M_NaCl_alpha-R1-Time160,Stanford_hap_LT_08M_NaCl_alpha-R1-Time160_R1.fastq.gz
08M_NaCl_alpha-R1-Time192,Stanford_hap_LT_08M_NaCl_alpha-R1-Time192_R1.fastq.gz
08M_NaCl_alpha-R1-Time240,Stanford_hap_LT_08M_NaCl_alpha-R1-Time240_R1.fastq.gz
08M_NaCl_alpha-R1-Time72,Stanford_hap_LT_08M_NaCl_alpha-R1-Time72_R1.fastq.gz
08M_NaCl_alpha-R1-Time8,Stanford_hap_LT_08M_NaCl_alpha-R1-Time8_R1.fastq.gz
08M_NaCl_alpha-R1-Time88,Stanford_hap_LT_08M_NaCl_alpha-R1-Time88_R1.fastq.gz
