Library,R1_files
FLC32_2N-R1-Time0,Stanford_high_LT_FLC32_2N-R1-Time0_R1.fastq.gz
FLC32_2N-R1-Time104,Stanford_high_LT_FLC32_2N-R1-Time104_R1.fastq.gz
FLC32_2N-R1-Time112,Stanford_high_LT_FLC32_2N-R1-Time112_R1.fastq.gz
FLC32_2N-R1-Time176,Stanford_high_LT_FLC32_2N-R1-Time176_R1.fastq.gz
FLC32_2N-R1-Time192,Stanford_high_LT_FLC32_2N-R1-Time192_R1.fastq.gz
FLC32_2N-R1-Time64,Stanford_high_LT_FLC32_2N-R1-Time64_R1.fastq.gz
FLC32_2N-R1-Time72,Stanford_high_LT_FLC32_2N-R1-Time72_R1.fastq.gz
FLC32_2N-R1-Time8,Stanford_high_LT_FLC32_2N-R1-Time8_R1.fastq.gz
FLC32_2N-R1-Time80,Stanford_high_LT_FLC32_2N-R1-Time80_R1.fastq.gz
FLC32_2N-R1-Time88,Stanford_high_LT_FLC32_2N-R1-Time88_R1.fastq.gz
FLC32_2N-R1-Time96,Stanford_high_LT_FLC32_2N-R1-Time96_R1.fastq.gz
