Library,R1_files
FLC4_alpha-R1-Time0,Stanford_hap_LT_FLC4_alpha-R1-Time0_R1.fastq.gz
FLC4_alpha-R1-Time104,Stanford_hap_LT_FLC4_alpha-R1-Time104_R1.fastq.gz
FLC4_alpha-R1-Time120,Stanford_hap_LT_FLC4_alpha-R1-Time120_R1.fastq.gz
FLC4_alpha-R1-Time136,Stanford_hap_LT_FLC4_alpha-R1-Time136_R1.fastq.gz
FLC4_alpha-R1-Time16,Stanford_redos_LT_FLC4_alpha-R1-Time16_R1.fastq.gz
FLC4_alpha-R1-Time160,Stanford_hap_LT_FLC4_alpha-R1-Time160_R1.fastq.gz
FLC4_alpha-R1-Time192,Stanford_hap_LT_FLC4_alpha-R1-Time192_R1.fastq.gz
FLC4_alpha-R1-Time24,Stanford_redos_LT_FLC4_alpha-R1-Time24_R1.fastq.gz
FLC4_alpha-R1-Time240,Stanford_hap_LT_FLC4_alpha-R1-Time240_R1.fastq.gz
FLC4_alpha-R1-Time32,Stanford_redos_LT_FLC4_alpha-R1-Time32_R1.fastq.gz
FLC4_alpha-R1-Time40,Stanford_redos_LT_FLC4_alpha-R1-Time40_R1.fastq.gz
FLC4_alpha-R1-Time48,Stanford_redos_LT_FLC4_alpha-R1-Time48_R1.fastq.gz
FLC4_alpha-R1-Time56,Stanford_redos_LT_FLC4_alpha-R1-Time56_R1.fastq.gz
FLC4_alpha-R1-Time64,Stanford_redos_LT_FLC4_alpha-R1-Time64_R1.fastq.gz
FLC4_alpha-R1-Time72,Stanford_hap_LT_FLC4_alpha-R1-Time72_R1.fastq.gz
FLC4_alpha-R1-Time8,Stanford_hap_LT_FLC4_alpha-R1-Time8_R1.fastq.gz
FLC4_alpha-R1-Time88,Stanford_hap_LT_FLC4_alpha-R1-Time88_R1.fastq.gz
