Library,R1_files
GlyEtOH_2N-R1-Time0,Stanford_mid_LT_GlyEtOH_2N-R1-Time0_R1.fastq.gz
GlyEtOH_2N-R1-Time104,Stanford_mid_LT_GlyEtOH_2N-R1-Time104_R1.fastq.gz
GlyEtOH_2N-R1-Time112,Stanford_mid_LT_GlyEtOH_2N-R1-Time112_R1.fastq.gz
GlyEtOH_2N-R1-Time120,Stanford_mid_LT_GlyEtOH_2N-R1-Time120_R1.fastq.gz
GlyEtOH_2N-R1-Time128,Stanford_mid_LT_GlyEtOH_2N-R1-Time128_R1.fastq.gz
GlyEtOH_2N-R1-Time136,Stanford_mid_LT_GlyEtOH_2N-R1-Time136_R1.fastq.gz
GlyEtOH_2N-R1-Time152,Stanford_mid_LT_GlyEtOH_2N-R1-Time152_R1.fastq.gz
GlyEtOH_2N-R1-Time168,Stanford_mid_LT_GlyEtOH_2N-R1-Time168_R1.fastq.gz
GlyEtOH_2N-R1-Time184,Stanford_mid_LT_GlyEtOH_2N-R1-Time184_R1.fastq.gz
GlyEtOH_2N-R1-Time200,Stanford_mid_LT_GlyEtOH_2N-R1-Time200_R1.fastq.gz
GlyEtOH_2N-R1-Time216,Stanford_mid_LT_GlyEtOH_2N-R1-Time216_R1.fastq.gz
GlyEtOH_2N-R1-Time240,Stanford_mid_LT_GlyEtOH_2N-R1-Time240_R1.fastq.gz
GlyEtOH_2N-R1-Time64,Stanford_mid_LT_GlyEtOH_2N-R1-Time64_R1.fastq.gz
GlyEtOH_2N-R1-Time72,Stanford_mid_LT_GlyEtOH_2N-R1-Time72_R1.fastq.gz
GlyEtOH_2N-R1-Time80,Stanford_mid_LT_GlyEtOH_2N-R1-Time80_R1.fastq.gz
GlyEtOH_2N-R1-Time88,Stanford_mid_LT_GlyEtOH_2N-R1-Time88_R1.fastq.gz
GlyEtOH_2N-R1-Time96,Stanford_mid_LT_GlyEtOH_2N-R1-Time96_R1.fastq.gz
