Library,R1_files
hBFA2-02M_NaCl-R1-Time16,hBFA2_s_hBFA2-02M_NaCl-R1-Time16_R1.fastq.gz
hBFA2-02M_NaCl-R1-Time24,hBFA2_s_hBFA2-02M_NaCl-R1-Time24_R1.fastq.gz
hBFA2-02M_NaCl-R1-Time32,hBFA2_s_hBFA2-02M_NaCl-R1-Time32_R1.fastq.gz
hBFA2-02M_NaCl-R1-Time40,hBFA2_s_hBFA2-02M_NaCl-R1-Time40_R1.fastq.gz
hBFA2-02M_NaCl-R1-Time8,hBFA2_s_hBFA2-02M_NaCl-R1-Time8_R1.fastq.gz
hBFA2-02M_NaCl-R2-Time16,hBFA2_s_hBFA2-02M_NaCl-R2-Time16_R1.fastq.gz
hBFA2-02M_NaCl-R2-Time24,hBFA2_s_hBFA2-02M_NaCl-R2-Time24_R1.fastq.gz
hBFA2-02M_NaCl-R2-Time32,hBFA2_s_hBFA2-02M_NaCl-R2-Time32_R1.fastq.gz
hBFA2-02M_NaCl-R2-Time40,hBFA2_s_hBFA2-02M_NaCl-R2-Time40_R1.fastq.gz
hBFA2-02M_NaCl-R2-Time8,hBFA2_s_hBFA2-02M_NaCl-R2-Time8_R1.fastq.gz
hBFA2-02M_NaCl-R3-Time16,hBFA2_s_hBFA2-02M_NaCl-R3-Time16_R1.fastq.gz
hBFA2-02M_NaCl-R3-Time24,hBFA2_s_hBFA2-02M_NaCl-R3-Time24_R1.fastq.gz
hBFA2-02M_NaCl-R3-Time32,hBFA2_s_hBFA2-02M_NaCl-R3-Time32_R1.fastq.gz
hBFA2-02M_NaCl-R3-Time40,hBFA2_s_hBFA2-02M_NaCl-R3-Time40_R1.fastq.gz
hBFA2-02M_NaCl-R3-Time8,hBFA2_s_hBFA2-02M_NaCl-R3-Time8_R1.fastq.gz
hBFA2-02M_NaCl_alpha-R1-Subpool,hBFA2-02M_NaCl_alpha-R1-Subpool_S28_R1_001.fastq.gz
hBFA2-08M_NaCl-R1-Time16,hBFA2_s_hBFA2-08M_NaCl-R1-Time16_R1.fastq.gz
hBFA2-08M_NaCl-R1-Time24,hBFA2_s_hBFA2-08M_NaCl-R1-Time24_R1.fastq.gz
hBFA2-08M_NaCl-R1-Time32,hBFA2_s_hBFA2-08M_NaCl-R1-Time32_R1.fastq.gz
hBFA2-08M_NaCl-R1-Time40,hBFA2_s_hBFA2-08M_NaCl-R1-Time40_R1.fastq.gz
hBFA2-08M_NaCl-R1-Time8,hBFA2_s_hBFA2-08M_NaCl-R1-Time8_R1.fastq.gz
hBFA2-08M_NaCl-R2-Time16,hBFA2_s_hBFA2-08M_NaCl-R2-Time16_R1.fastq.gz
hBFA2-08M_NaCl-R2-Time24,hBFA2_s_hBFA2-08M_NaCl-R2-Time24_R1.fastq.gz
hBFA2-08M_NaCl-R2-Time32,hBFA2_s_hBFA2-08M_NaCl-R2-Time32_R1.fastq.gz
